x, mm	y, mm	z, mm	Pressure, MPa
-1.85	0.0	5	21.74850406617814
-1.85	0.05	5	21.67172707783727
-1.85	0.1	5	21.44301852650202
-1.85	0.15	5	21.067188647319337
-1.85	0.2	5	20.552067276757764
-1.85	0.25	5	19.9082326349603
-1.85	0.3	5	19.148650231600868
-1.85	0.35	5	18.288239106380026
-1.85	0.4	5	17.343385653473433
-1.85	0.45	5	16.331427106083037
-1.85	0.5	5	15.270127301610191
-1.85	0.55	5	14.177166629324631
-1.85	0.6	5	13.069666185582744
-1.85	0.65	5	11.963763304920464
-1.85	0.7	5	10.874252033089068
-1.85	0.75	5	9.814298029933045
-1.8	-0.85	5	10.131693610568327
-1.8	-0.8	5	11.385855549059123
-1.8	-0.75	5	12.705084467898342
-1.8	-0.7	5	14.077246297619759
-1.8	-0.65	5	15.48767144418929
-1.8	-0.6	5	16.9193163228401
-1.8	-0.55	5	18.3530293243263
-1.8	-0.5	5	19.76791988696534
-1.8	-0.45	5	21.141823921718125
-1.8	-0.4	5	22.4518533077622
-1.8	-0.35	5	23.675011896624152
-1.8	-0.3	5	24.788855799642953
-1.8	-0.25	5	25.7721720353612
-1.8	-0.2	5	26.605647183807623
-1.8	-0.15	5	27.272496764311857
-1.8	-0.1	5	27.75902675820573
-1.8	-0.05	5	28.055101062693183
-1.8	0.0	5	28.154492595239518
-1.8	0.05	5	28.055101062693183
-1.8	0.1	5	27.75902675820573
-1.8	0.15	5	27.272496764311857
-1.8	0.2	5	26.605647183807623
-1.8	0.25	5	25.7721720353612
-1.8	0.3	5	24.788855799642953
-1.8	0.35	5	23.675011896624152
-1.8	0.4	5	22.4518533077622
-1.8	0.45	5	21.141823921718125
-1.8	0.5	5	19.76791988696534
-1.8	0.55	5	18.3530293243263
-1.8	0.6	5	16.9193163228401
-1.8	0.65	5	15.48767144418929
-1.8	0.7	5	14.077246297619759
-1.8	0.75	5	12.705084467898342
-1.8	0.8	5	11.385855549059123
-1.8	0.85	5	10.131693610568327
-1.75	-0.95	5	10.095926510456767
-1.75	-0.9	5	11.507295659047339
-1.75	-0.85	5	13.02352739804609
-1.75	-0.8	5	14.635657906067369
-1.75	-0.75	5	16.331427106083037
-1.75	-0.7	5	18.095237567671553
-1.75	-0.65	5	19.908232634960317
-1.75	-0.6	5	21.74850406617814
-1.75	-0.55	5	23.591433913199367
-1.75	-0.5	5	25.410168935796708
-1.75	-0.45	5	27.176218870451738
-1.75	-0.4	5	28.860162765438258
-1.75	-0.35	5	30.4324408076387
-1.75	-0.3	5	31.864203072239803
-1.75	-0.25	5	33.12818187272999
-1.75	-0.2	5	34.199551265509484
-1.75	-0.15	5	35.05673606756602
-1.75	-0.1	5	35.682133651523614
-1.75	-0.05	5	36.06271482230909
-1.75	0.0	5	36.19047513534312
-1.75	0.05	5	36.06271482230909
-1.75	0.1	5	35.682133651523614
-1.75	0.15	5	35.05673606756602
-1.75	0.2	5	34.199551265509484
-1.75	0.25	5	33.12818187272999
-1.75	0.3	5	31.864203072239803
-1.75	0.35	5	30.4324408076387
-1.75	0.4	5	28.860162765438258
